Date,Area,Location,CommonName,SpeciesName,Fate,Reason for euthanasia,Marine Park,Latitude,Longitude
10/10/2016,Townsville,Florence Bay,CATFISH,Neoarius graeffei,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
13/10/2016,Townsville,Horseshoe Bay,GREAT HAMMERHEAD,Sphyrna mokarran,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
17/10/2016,Capricorn Coast,Tanby Point,BULL WHALER,Carcharhinus leucas,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
17/10/2016,Townsville,Picnic Bay,COMMON BLACKTIP WHALER,Carcharhinus limbatus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
17/10/2016,Capricorn Coast,Kemp Beach,TIGER SHARK,Galeocerdo cuvier,Euthanised,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
19/10/2016,Cairns,Holloways ,AUSTRALIAN BLACKTIP,Carcharhinus tilstoni,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
19/10/2016,Townsville,Horseshoe Bay,BULL WHALER,Carcharhinus leucas,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
19/10/2016,Gladstone,Tannum Sands,COMMON BLACKTIP WHALER,Carcharhinus limbatus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
19/10/2016,Gladstone,Tannum Sands,COMMON BLACKTIP WHALER,Carcharhinus limbatus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
19/10/2016,Townsville,Alma Bay,SPOT-TAIL WHALER,Carcharhinus sorrah ,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
23/10/2016,Gladstone,Tannum Sands,COMMON BLACKTIP WHALER,Carcharhinus limbatus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
26/10/2016,Gladstone,Tannum Sands,BULL WHALER,Carcharhinus leucas,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
26/10/2016,Cairns,Ellis Beach,TIGER SHARK,Galeocerdo cuvier,Euthanised,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
1/11/2016,Gladstone,Tannum Sands,COMMON BLACKTIP WHALER,Carcharhinus limbatus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
3/11/2016,Gladstone,Tannum Sands,COMMON BLACKTIP WHALER,Carcharhinus limbatus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
5/11/2016,Cairns,Ellis Beach,PIGEYE WHALER,Carcharhinus amboinensis,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
5/11/2016,Townsville,Radical Bay,TIGER SHARK,Galeocerdo cuvier,Euthanised,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
5/11/2016,Townsville,Radical Bay,TIGER SHARK,Galeocerdo cuvier,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
6/11/2016,Gladstone,Tannum Sands,BULL WHALER,Carcharhinus leucas,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
12/11/2016,Gladstone,Tannum Sands,BULL WHALER,Carcharhinus leucas,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
15/11/2016,Cairns,Trinity ,TAWNY SHARK,Nebrius ferrugineus,Released alive,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
16/11/2016,Cairns,Holloways ,AUST SHARPNOSE SHARK,Rhizoprionodon taylori,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
16/11/2016,Cairns,Clifton ,COMMON BLACKTIP WHALER,Carcharhinus limbatus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
16/11/2016,Cairns,Trinity ,SPOT-TAIL WHALER,Carcharhinus sorrah ,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
19/11/2016,Gladstone,Tannum Sands,COMMON BLACKTIP WHALER,Carcharhinus limbatus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
