Date,Area,Location,CommonName,SpeciesName,Fate,Reason.for.euthanasia,Marine.Park,Latitude,Longitude
20/1/2024,Townsville,Palarenda Beach,Spot-Tail Whaler,Carcharhinus Sorrah,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
20/1/2024,Gladstone,Tannum Sands,Tiger Shark,Galeocerdo Cuvier,Deceased,Great Barrier Reef Coast Marine Park (Gbrcmp),,NA,NA
21/1/2024,Capricorn Coast,Smart 507 Mullambin Beach,Tiger Shark,Galeocerdo Cuvier,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
21/1/2024,Capricorn Coast,Tanby Point,Tiger Shark,Galeocerdo Cuvier,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
22/1/2024,Capricorn Coast,Emu Park,Bull Whaler,Carcharhinus Leucas,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
22/1/2024,Capricorn Coast,Kemp Beach,Sharptooth Shark,Negaprion Acutidens,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
24/1/2024,Townsville,Horseshoe Bay,Common Blacktip Whaler,Carcharhinus Limbatus,Deceased,Great Barrier Reef Coast Marine Park (Gbrcmp),,NA,NA
24/1/2024,Townsville,Radical Bay,Common Blacktip Whaler,Carcharhinus Limbatus,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
24/1/2024,Townsville,Horseshoe Bay,Sharptooth Shark,Negaprion Acutidens,Released Alive,Great Barrier Reef Coast Marine Park (Gbrcmp),,NA,NA
24/1/2024,Townsville,Horseshoe Bay,Spot-Tail Whaler,Carcharhinus Sorrah,Deceased,Great Barrier Reef Coast Marine Park (Gbrcmp),,NA,NA
24/1/2024,Townsville,Horseshoe Bay,Tiger Shark,Galeocerdo Cuvier,Euthanised,Great Barrier Reef Coast Marine Park (Gbrcmp),,NA,NA
24/1/2024,Townsville,Radical Bay,Tiger Shark,Galeocerdo Cuvier,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
